"","name","value"
"505","independent","Chinese Navy official 'meows' during angry warning to US military in re-surfaced video"
"506","mirror","Emmerdale's Charley Webb and Matthew Wolfenden pose with lookalike sons after tense row"
"507","telegraph","

Cycle lanes blamed for London’s status as world’s most congested city

"
"508","nytimes","Kellogg Workers Prolong Strike by Rejecting Contract Proposal"
"509","wsj","Omicron Variant Puts Companies on Notice This Holiday Season4 min read"
"510","washingtonpost","How to share a happy holiday with an ex-partner and your kids"
"511","latimes","2021 sports year in review: The year Simone Biles taught us it’s OK to not be OK"
"512","guardian"," 40 endangered sea turtles injured when water off Massachusetts cooled quickly"
"513","times","Behind the Shot: Tennis at the Royal Albert Hall"
"514","dailymail","Sainsbury's apologises AGAIN after shopper fury at advertisement of an 'imposter' cream tea done 'the Devon way' is displayed in Cornwall store"
"515","independent","Cork's River Lee breaks banks as Storm Barra hits Ireland"
"516","mirror","Woman shows how little she eats by following the sizing suggestions on packages"
"517","telegraph","

David Tennant: Around the World in 80 Days shows 'alarming' side of British Empire

"
"518","nytimes","As China Evergrande Teeters, Beijing Steps In"
"519","wsj","Inflation Pressure Hits New Warehouse Leases3 min read"
"520","washingtonpost","How to weigh coronavirus risks this holiday season"
"521","latimes","Six things to know about death of Kentucky Derby winner Medina Spirit"
"522","guardian","‘Vague and weak’ policies mean Scotland could miss emission targets"
"523","times","‘Ageing dancer’ turns the tables on royal artist"
"524","dailymail","Thieves are now hiding $29 Apple AirTags on high-end vehicles at parking lots and then tracking them with iPhones before stealing them from driveways"
"525","independent","Sport"
"526","mirror","Lorraine Kelly and Lizzie Cundy lead stars in their glad rags at TRIC Christmas lunch"
"527","telegraph","

Brussels plans to make misogyny a hate crime across Europe

"
"528","nytimes","Ethiopia Says It Recaptured Strategic Towns From Rebels"
"529","wsj","Today's Logistics Report: Asia’s Supply Chains Bracing; Toyota’s Electric Extension; Shipping Pills1 min read"
"530","washingtonpost","Tips for setting up your home bar, during the holidays and beyond"
"531","latimes","Frank Vogel and LeBron James address the heat Lakers coach is feeling amid slow start"
"532","guardian","Working week cut to four-and-a-half days and weekend moved"
"533","times","Gothic writer’s lost grotto unearthed"
"534","dailymail","Mother of teenage twin sisters who killed themselves months apart after suffering sexual abuse says authorities missed multiple opportunities to save them "
"535","independent","West Ham expose Chelsea’s lack of cutting edge in hard-fought victory"
"536","mirror","Closing schools again 'risks more cases like Arthur Labinjo-Hughes' warns Ofsted"
"537","telegraph","

China slams 'pretentious, Covid-ridden' US officials for boycotting Winter Olympics

"
"538","nytimes","Women Earn $2 Million Less Than Men in Their Careers as Doctors"
"539","wsj","Supply-Chain Snarls Hit Production of Trailers Needed to Haul Goods3 min read"
"540","washingtonpost","Creative holiday wreaths and other ideas for a festive front door"
"541","latimes","How USA Badminton found itself at the center of athlete abuse allegations"
"542","guardian","Elizabeth Holmes to begin sixth day testifying in her own defence at trial"
"543","times","Drivers fail to get measure of when they are over limit"
"544","dailymail","What does YOUR perfect Christmas dinner gravy look like? Jamie Oliver shares chart showing different shades - and says you should make it NOW and defrost on the big day"
"545","independent","Yarde seizes revenge in whirlwind performance to hand Arthur loss"
"546","mirror","NASA capture remarkable space image from Mars rover that leaves scientists in awe "
"547","telegraph","

Half of drinkers cannot tell if they are too drunk to drive

"
"548","nytimes","Business Updates: Elizabeth Holmes Returns to Stand in Theranos Trial"
"549","wsj","Subscription Companies Rethink Irksome Cancelation Practices 4 min read"
"550","washingtonpost","12 colorful holiday cookie recipes to illuminate the season"
"551","latimes","The 75 best shows on Netflix right now, according to our experts"
"552","guardian","Inequality ‘as marked as it was at peak of western imperialism’"
"553","times","We cannot punish children for their parents’ mistakes"
"554","dailymail","Police issue fresh pictures of three men they want to speak with over anti-Semitic Oxford Street attack when yobs abused Jewish teenagers with Nazi salutes and spat at their bus as they celebrated Hanukkah "
"555","independent","How England became the centre of the coaching world"
"556","mirror","Ghost hunter explores abandoned hospital which has grim BODY CHUTE to remove corpses"
"557","telegraph","

Bus drivers' brainwaves to be monitored to prevent them falling asleep at the wheel

"
"558","nytimes","Michael Steinhardt, Billionaire, Surrenders $70 Million in Stolen Relics"
"559","wsj","U.K. Soccer Stadiums Design for Safer Standing at Games 4 min read"
"560","washingtonpost","Consider these gift ideas for your gamer"
"561","latimes","Keep calm and watch British TV: An expert recommends 35 shows to get you started "
"562","guardian","Actor to return to witness stand after calling claim he staged attack ‘100% false’"
"563","times","News in pictures"
"564","dailymail","CCTV shows road rage argument that led to pedestrian stabbing father to death in the front seat of his BMW as his four-year-old son watched in horror from the back seat - as killer is jailed for 23 years"
"565","independent","Gray stunner seals Everton win over dismal Arsenal"
"566","mirror","Hermit woman, 77, who lived like '18th century peasant' gets electricity for first time"
"567","telegraph","

German economy slumps in blow for new chancellor Olaf Scholz

"
"568","nytimes","Is Gluten-Free Bread Healthier Than Regular Bread?"
"569","wsj","Match Introduces a Human Matchmaking Element to Its Dating App3 min read"
"570","washingtonpost","Sidney Powell nonprofit raised $14 million spreading falsehoods"
"571","latimes","Sign up for Screen Gab, a newsletter about the TV and movies everyone’s talking about"
"572","guardian","US billionaire surrenders $70m of stolen art"
"573","times","‘Your profit fuelled genocide’: Rohingya sue Facebook for £150bn"
"574","dailymail","Moment armed police stormed £2m country mansion to find alleged murderer's mother in pool of blood with knife wounds so severe they thought she had been blasted with a shotgun"
"575","independent","Chelsea to host non-league Chesterfield in FA Cup third round "
"576","mirror","Deadly Emmerdale Christmas explosion could result in grisly festive death"
"577","telegraph","

Investors face losing millions under plans to weaken financial safety net

"
"578","nytimes","Why Does Coffee Make Me Poop?"
"579","wsj","Omicron Will Cause Problems, but Inflation May Not Be One 3 min read"
"580","washingtonpost","Texas’s new voting maps discriminate against Latinos, Justice Dept. says in lawsuit"
"581","latimes","Attorney for Mark Meadows says he won’t cooperate with Jan. 6 panel"
"582","guardian","Thousands left without power in Ireland"
"583","times","Israel ‘attacks weapons shipment in Syrian port’"
"584","dailymail","Pensioner, 63, becomes first in Britain to be prosecuted for obstructing a speed camera - and vows to CONTINUE his one-man campaign despite being found guilty"
"585","independent","Hamilton beats Verstappen to Saudi Arabian GP victory after wild race"
"586","mirror","Liverpool lead Jude Bellingham transfer race and hope Erling Haaland can help seal deal"
"587","telegraph","

Ethical investors should embrace weapons makers to keep the world safe, says Babcock boss

"
"588","nytimes","Do I Get Enough Vitamin D in the Winter?"
"589","wsj","Amazon Warehouses Are No Silver Bullet for Tired Shopping Malls 4 min read"
"590","washingtonpost","Rep. Devin Nunes to leave Congress to become Trump media company CEO"
"591","latimes","Scores of Japanese lawmakers visit shrine honoring convicted war criminals"
"592","guardian","Beijing unveils package to boost economy amid IMF growth warning"
"593","times","Valérie Pécresse: the woman who wants to take Macron’s job"
"594","dailymail","Photo of Jeffrey Epstein and Ghislaine Maxwell KISSING is seen framed in the late financier's mansion: FBI photos from 2019 Manhattan raid show pedophile's infamous massage room, CDs and passports "
"595","independent","Tommy Fury pulls out of Jake Paul fight as Woodley rematch confirmed"
"596","mirror","Inside James Argent and Lydia Bright's rocky romance - cheating list to addiction crisis"
"597","telegraph","

Chess study finds home workers risk making a wrong move

"
"598","nytimes","Are My Allergies All in My Head?"
"599","wsj","Budweiser Tries to Make Beer Stocks Fashionable Again 2 min read"
"600","washingtonpost","Former senator Robert J. Dole to lie in state in U.S. Capitol"
"601","latimes","End of an era: Angela Merkel’s last full day as Germany’s leader after 16 years"
"602","guardian","Malcolm X’s former prison cell becomes first of 1,000 planned ‘freedom libraries’"
"603","times","Coral IVF breakthrough raises hope for Great Barrier Reef"
"604","dailymail","British woman 'Kate' claims she had sex with Jeffrey Epstein when she was a teenager at Ghislaine Maxwell's Belgravia mansion after which she told her 'you're such a good girl' "
"605","independent","ITF won’t ‘punish a billion people’ by suspending Chinese events"
"606","mirror","How to not kill your Christmas tree by following these 3 easy festive steps"
"607","telegraph","

‘Hello mum’ WhatsApp scam skyrockets, costing parents thousands

"
"608","nytimes","Do You Have a Question for Our Health Editors?"
"609","wsj","Stocks Rally Again as China Acts3 min read"
"610","washingtonpost","Jeffrey Clark and John Eastman join some rare company in pleading the Fifth to Jan. 6 committee"
"611","latimes","Shadow of Floyd, Chauvin case hangs over trial of officer who shot Daunte Wright"
"612","guardian","US boss fires 900 employees on a Zoom call"
"613","times","Street traders targeted in Kim’s food crackdown"
"614","dailymail","Jeffrey Epstein kept a trove of CDs and nude photos of women and girls stuffed into the closets of his $77million New York City townhouse"
"615","independent","Kerr brilliance inspires dominant Chelsea to FA Cup glory over Arsenal"
"616","mirror","I'm A Celebrity preview sees Frankie Bridge showered in rotten fruit in disgusting trial"
"617","telegraph","

Eight reasons you should go self-employed and save a fortune in tax

"
"618","nytimes","Going Deep Into Oyster Country"
"619","wsj","Mimecast Goes Private in $5.8 Billion Deal. The Stock Rises.2 min read"
"620","washingtonpost","Senate revs up work on $2 trillion spending proposal, aiming to vote on Biden-backed bill before Christmas"
"621","latimes","The best fiction books worth gifting (and reading) this holiday season"
"622","guardian","China attacks US diplomatic boycott as ‘travesty’ of Olympic spirit"
"623","times","Exiled king demands return to palace with €200,000 stipend"
"624","dailymail","Female footballer, 34, who suffered seizures brought on by anxiety called an ambulance because her heart was beating 'really fast' and died, inquest hears "
"625","independent","‘AJ is a p****’: Fury mocks Joshua with chant on homecoming tour"
"626","mirror","TOWIE's Georgia Kousoulou shows off millionaire dad's home with giant Christmas tree"
"627","telegraph","

Looser mortgage rules will add £17,000 to price of a starter home

"
"628","nytimes","Review: Etel Adnan’s Bittersweet Arrival at the Guggenheim"
"629","wsj","Tesla Stock Price Target Raised to $1,000 at UBS. Here Is Why.2 min read"
"630","washingtonpost","Pro-Trump scam PAC operator, PPP fraudster sentenced to nearly 4 years in prison"
"631","latimes","These 17 L.A. museums have online stores with gifts you can’t find on Amazon"
"632","guardian","Tribute to Wimbledon champ and Obama’s quiet inspiration "
"633","times","Swedish minister in ‘Hitler salute’ photo denies Nazi sympathies"
"634","dailymail","The 'instant boob lift' pose influencers swear by: Woman shows how arching your back and lifting your arms above your head gives the illusion of a perkier chest in seconds"
"635","independent","Sign up to The Independent’s free Sports Brief newsletter "
"636","mirror","London Resort dubbed 'UK Disneyland' will go ahead for 2024 says theme park boss"
"637","telegraph","

Oliver Brown
Doubters of Lewis Hamilton look increasingly churlish - this would be the greatest British sporting achievement

"
"638","nytimes","On Baseball: A Star Who Was Best Viewed in Total"
"639","wsj","Vir, GSK's COVID-19 antibody treatment works against omicron in a lab study, and WHO no longer recommends convalescent plasma3 min read"
"640","washingtonpost","Rohingya refugees sue Facebook for $150 billion, alleging it helped perpetuate genocide in Myanmar"
"641","latimes","11 books your creative friends actually will want on their coffee table"
"642","guardian","I suppose I shouldn’t be surprised that this pirate game is full of hornswagglers"
"643","times","UAE shifts working week to match global business"
"644","dailymail","Susanna Reid cries as Arthur Labinjo-Hughes' grandmother breaks down in tears on GMB while condemning police and social service for failing him as PM backs calls for new 'Arthur's law' "
"645","independent","How Rangnick achieved the ‘control’ he craves in first Man Utd match"
"646","mirror","Autistic boy has 'best birthday ever' due to stunning reaction after kids snubbed party"
"647","telegraph","

Ashes
Michael Vaughan's guide to dismissing Australia's top seven in first Test

"
"648","nytimes","Best of Late Night: Host Offers an Idea for Diplomatic Payback"
"649","wsj","Medicare open enrollment ends today: Here’s what to know3 min read"
"650","washingtonpost","CDC issues ‘very high’ risk warning for travel to France and Portugal"
"651","latimes","Comedians wanted Spotify to pay them more royalties. Their albums were removed "
"652","guardian","Nicole Kidman makes light comedy look like hard work in Lucille Ball biopic"
"653","times","Biden stages Beijing Games boycott"
"654","dailymail","'Alarm bells were ringing all around': Grandfather of murdered Arthur slams authorities for 'not acting on' concerns from family and even neighbours - as report claims social worker lost notes from visit before trial began "
"655","independent","Best of IndyBest: our readers’ top articles"
"656","mirror","'The moment I realised I needed a break - being a mum is the hardest job I've had'"
"657","telegraph","

Cricket
Ashes 2021-22 Spotters' Guide – What to look out for as the series gets underway at the Gabba, Brisbane

"
"658","nytimes","Leading the Pack in Her First Marathon"
"659","wsj","Seniors beware: The FBI says these are the 10 biggest online scam5 min read"
"660","washingtonpost","As virus abates in India, hunger crisis persists"
"661","latimes","Soccer newsletter: Sam Kerr and Chelsea help smash FA gender bias on historic day"
"662","guardian","Celebrating ‘unseen’ Asian American artists"
"663","times","Road cracks under strain of ceremonial coconut"
"664","dailymail","Labour opens up its largest opinion poll lead over the Tories since Boris Johnson became PM as Keir Starmer's party jumps to three points ahead"
"665","independent","Best mattress 2021: Memory foam, pocket sprung and hybrids reviewed"
"666","mirror","Boy, 4, who saw dad's road rage murder 'relives horror when he gets into family's car'"
"667","telegraph","

Boxing
Tyson Fury exclusive interview: 'I’ve got nothing left to prove... but plenty left to earn'

"
"668","nytimes","Chocolate Cake With Peppermint Frosting"
"669","wsj","5 Log Cabins for $5 Million4 min read"
"670","washingtonpost","Lives covered in ash after Indonesia eruption"
"671","latimes"," ‘The Times’  podcast "
"672","guardian","Post your questions for the actor and director"
"673","times","Billionaire agrees to give up stolen antiquities worth £50m"
"674","dailymail","Mothers blasts dads for taking their daughters into the women's changing room after lessons at the school pool - and one supporter suggests she should consider calling the POLICE "
"675","independent","12 best cordless vacuum cleaners for hassle-free hoovering"
"676","mirror","David Beckham's warning to Jamie Vardy as Leicester star's US team join new MLS league"
"677","telegraph","

Rugby Union
Marcus Smith strongly considered move to France before becoming England and Lions star

"
"678","nytimes","Brown-Butter Orzo With Butternut Squash"
"679","wsj","Smart Technology to Build an Indoor Garden1 min read"
"680","washingtonpost","Taiwan is racing to contain a cane toad invasion"
"681","latimes","Listen to great articles"
"682","guardian","Best of 2021"
"683","times","Not enough space to park superyachts, billionaire complains"
"684","dailymail","Indian brother 'decapitates his pregnant sister, 19, then poses for a SELFIE with her head along with his mother' after the girl eloped"
"685","independent","9 best electric toothbrushes that keep teeth healthy and bright"
"686","mirror"," 'I caught husband emailing his old sex partner after he promised not to'"
"687","telegraph","

Rugby Union
Cardiff to name 'misfit' line-up of youngsters and semi-pros against European champions Toulouse

"
"688","nytimes","Gingerbread Biscotti"
"689","wsj","The Floors of This Florida Kitchen Come From a 400-Year-Old French Church4 min read"
"690","washingtonpost","Justice Dept. closes Emmett Till investigation without filing charges"
"691","latimes","Frank Carson"
"692","guardian","The surprising reason late sleepers are less happy"
"693","times","Putin invites Ukrainian separatist leaders into his party"
"694","dailymail","Actress who racially abused and attacked staff at posh Notting Hill chip shop 'shouted at victim: 'I'm an aristocrat, I grew up in a castle' and donned wig and mask disguise to beat banning injunction'"
"695","independent","10 best pillows that provide comfort and support"
"696","mirror","Dire Christmas covid warning as festive plans may cause unhappy New Year warn scientists"
"697","telegraph","

Maggie's
The cancer centres that stayed open while many other services shut down

"
"698","nytimes","Fennel and Radicchio Salad With Anchovy and Egg"
"699","wsj","An Art World Push for Climate Action5 min read"
"700","washingtonpost","Smollett testifies in his trial over disputed hate crime, says there ‘was no hoax’"
"701","latimes","‘Dirty John’"
"702","guardian","What is the best Christmas party food?"
"703","times","Chinese couple reunited with son abducted 14 years ago"
"704","dailymail","Pictured: Teenage driver whose bid to create Tiktok stunt in Morrisons car park ended with friend in intensive care with brain bleed and fractured skull "
"705","independent","12 best Bluetooth speakers for every budget"
"706","mirror","Keir Starmer says anti-vaxxers must 'think again' as NHS resources drained by unjabbed"
"707","telegraph","

Why every abandoned bundle will always find love with the Dogs Trust

"
"708","nytimes","Wine-Braised Chicken With Artichoke Hearts"
"709","wsj","Two Tiaras Once Owned by Joséphine Bonaparte Headed to Auction1 min read"
"710","washingtonpost","Hawaii governor declares state of emergency as heavy rains bring ‘danger of a disaster’"
"711","latimes","Betty Broderick "
"712","guardian","Leuven: the small Flemish town with a big (bang) history "
"713","times","Maths equality plan does not add up, say professors"
"714","dailymail","Her magnum ovum! A 42-year-old artist is selling one of her EGGS as an NFT - and she expects the buyer to conceive a child with it"
"715","independent","Best VPN services in the UK for streaming and security in 2021"
"716","mirror","Dominic Raab admits a No10 staff party last Christmas would have breached Covid rules"
"717","telegraph","

Duke of Edinburgh's Award
'My teachers had given up on me but doing DofE helped me to turn my life around'

"
"718","nytimes","Great Personalized Gifts"
"719","wsj","Volvo’s Top Sedan Is Feature-Laden and a Good All-Wheel Drive Cruiser2 min read"
"720","washingtonpost","Charlottesville’s Robert E. Lee statue will be melted down by city’s African American history museum"
"721","latimes","‘Asian Enough’"
"722","guardian","Best mid-range wifi 6 mesh systems to solve broadband dead zones"
"723","times","China targets Equatorial Guinea for Atlantic naval base"
"724","dailymail","The Pope compares the EU to a 'Nazi dictatorship' for its attempts to impose woke language rules and ban Christmas"
"725","independent","8 Christmas beauty gift sets from Lookfantastic "
"726","mirror","Arthur Labinjo-Hughes murder: Government announces inquiry as killers' sentences reviewedVIDEO"
"727","telegraph","

The Telegraph Christmas Charity Appeal 2021
Who we are supporting and how you can donate

"
"728","nytimes","Try Packing Cubes and You’ll Never Go Back"
"729","wsj","Gigi Sohn’s Strange Bedfellows"
"730","washingtonpost","Police question artist linked to building where parents of Michigan shooting suspect hid"
"731","latimes","‘Detective Trapp’"
"732","guardian","How to keep swimwear in great condition"
"733","times","Conman caught living ‘comfortably’ on the run"
"734","dailymail","Give the woman in your life a gift she'll LOVE this year! Femail shares 100 of the BEST Christmas presents for her - and prices start from just £1.99"
"735","independent","Culture"
"736","mirror","Middle-class cocaine users could lose passports and driving licences in drugs crackdown"
"737","telegraph","

Property
The best places to start a family with good primary schools and green space

"
"738","nytimes","How to Wash Cashmere Sweaters"
"739","wsj","China Seeks First Military Base on Africa’s Atlantic Coast    "
"740","washingtonpost","The troubling new void in local journalism — and the nonprofits trying to fill it"
"741","latimes","Our Podcasts"
"742","guardian","Emma Beddington tries … being a mermaid "
"743","times","Pope compares EU to fascists over Christmas greeting guide"
"744","dailymail","Max Verstappen's secret weapon! Driver, 24, has one over on rival Lewis Hamilton thanks to his supportive model girlfriend Kelly, 33, who's the daughter of Nelson Piquet"
"745","independent","Kevin Williamson: ‘The Scream movies are coded in gay survival’"
"746","mirror","New Covid antiviral pill 'could be offered to patients before Christmas'VIDEO"
"747","telegraph","

Fashion
Sophie Ellis-Bextor and Janet Ellis on their mother-daughter style secrets

"
"748","nytimes","Keep Cockroaches Out of Your Kitchen"
"749","wsj","Three Potential Crises Unfold on the World Stage "
"750","washingtonpost","Minneapolis police chief who oversaw department through the turmoil of Floyd’s murder to retire"
"751","latimes","‘The Envelope’"
"752","guardian","How an Afghan reporter was left to the Taliban by the Foreign Office"
"753","times","Free French hens out of tune with trend for cheaper eggs"
"754","dailymail","Schoolboy, 14, is BANNED from class for is 'extreme' hair style after he came in to school with his hair in plaits"
"755","independent","Paolo Sorrentino: ‘What worries me is the scepticism about our life’"
"756","mirror","Man accused of murdering girlfriend’s son 'locked him in room using electrical cables'"
"757","telegraph","

Generation Coke: When did taking drugs become cheaper than a night at the pub?

"
"758","nytimes","Spelling Bee"
"759","wsj","With Just Three Passes in a Win, Bill Belichick Paints a Masterpiece"
"760","washingtonpost","American Airlines CEO Doug Parker to retire"
"761","latimes","It’s an L.A. Advent calendar! Here are 31 festive things to do in December"
"762","guardian","Gun-fetish photo a symbol of Republican abasement under Trump"
"763","times","California crimewave blamed on liberal reforms"
"764","dailymail","The ultimate laundry trick: How to make your towels snuggly and soft again with just three ingredients"
"765","independent","How the Monday night quizathon shows our glorious stupidity"
"766","mirror","Undertaker explains why many Pearl Harbor victims were left amongst the wreckage"
"767","telegraph","

Can Unesco save Berlin’s seedy techno dens?

"
"768","nytimes","The Crossword"
"769","wsj","New York City Sets Covid-19 Vaccine Mandate for Private-Sector Workers"
"770","washingtonpost","Google and Uber delay office returns amid omicron uncertainty"
"771","latimes","Dust off those skates. These California ice skating rinks are finally back open"
"772","guardian","Only thing spreading faster than Omicron is misinformation"
"773","times","Death of migrant and unborn child prompts manslaughter inquiry"
"774","dailymail","'What does a guy have to do to get put on Hollywood's no-fly list?' West Wing's Joshua Malina urges Warner Bros. to CANCEL 'Jew-hater' Mel Gibson after actor is tapped to star in and direct Lethal Weapon 5"
"775","independent","Blake Shelton reveals why Adam Levine wasn’t invited to his wedding"
"776","mirror","'Flea bitten' Trafalgar Square Christmas tree's race against time to be replaced"
"777","telegraph","

Travel
The worst holiday of my life, featuring pickpockets and a deadly chicken tamale

"
"778","nytimes","New York Times Games"
"779","wsj","Elon Musk Comes Out Against Federal Electric-Vehicle Spending "
"780","washingtonpost","Trump SPAC under investigation by financial regulators"
"781","latimes","These 6 holiday markets bring glee to L.A., San Francisco and in between"
"782","guardian","We were angry at being told we couldn’t mourn the death of a woman"
"783","times","‘Black box’ to tell future civilisations about climate disaster"
"784","dailymail","Now the woke brigade are coming for your Christmas films! Twitter critics say Love Actually 'rewards toxic men', 'archaic' Bridget Jones champions sexual harassment and Jack Black is a 'dangerous sociopath' in The Holiday"
"785","independent","Rita Moreno nearly quit 1961 West Side Story over ‘America’ lyrics "
"786","mirror","Maura Higgins 'wants to show Giovanni Pernice what he's missing' with sexy snaps"
"787","telegraph","

Beauty
The niche skincare brands with best-selling products under £60

"
"788","nytimes","Letter Boxed"
"789","wsj","Opinion: Bill de Blasio’s Parting Insult"
"790","washingtonpost","Your next smartphone might have a camera that’s always watching"
"791","latimes","L.A. Affairs: Who knew Home Depot was the most romantic place on Earth?"
"792","guardian","A US activist took a sick goat from a farm – now he faces seven years in jail"
"793","times","Macron’s fury about Brexit is self-defeating"
"794","dailymail","University Challenge viewers swoon over King's College London captain Atyab Rashid's 'warm honey' voice - saying the Philosophy student makes 'even the Queen sound common'"
"795","independent","Tamsin Greig says she ‘probably shouldn’t’ have played a Jewish mother"
"796","mirror","Toddler 'suffered sadistic assaults' before 'murder' at hands of mum and partner"
"797","telegraph","

Travel
The old Scottish whisky hotel with a tasteful new look

"
"798","nytimes","Tiles"
"799","wsj","Opinion: Omicron: Keep Calm and Carry On"
"800","washingtonpost","Workers across Activision Blizzard join walkout in protest of layoffs"
"801","latimes","18 plant and gardening activities in L.A. that’ll get you in the holiday spirit"
"802","guardian","Kiribati brain drain is outback Australia’s gain"
"803","times","Parliament must take power back from judges"
"804","dailymail","Student reveals how she snapped up 110 items worth £1,130 for just £15 in PrettyLittleThing Black Friday sale where prices were as low as 6p - after fast fashion giant was blasted for selling 'throwaway' dresses for 8p"
"805","independent","Phillip Schofield criticised for ‘disrespectful’ Matt Hancock question"
"806","mirror","This is what happens to your brain if you don't get enough sleep"
"807","telegraph","

Fashion
In defence of Chanel’s £610 advent calendar

"
"808","nytimes","Vertex"
"809","wsj","Opinion: Gigi Sohn’s Strange Bedfellows"
"810","washingtonpost","Vast majority of cyber experts group favor mandates to report hacks"
"811","latimes","The 16 most beautiful and inviting public gardens in Southern California"
"812","guardian","Have you been left behind in Afghanistan?"
"813","times","The compulsion to cancel is out of control"
"814","dailymail","Couple are accused of murdering 'naughty' toddler: Mother, 30, would 'beat up' son, three, because he threw toys and urinated on carpet - before he died from 'massive' internal bleed after 'vicious forceful assault', court hears"
"815","independent","Fred Astaire’s ‘request to never be portrayed on screen’ resurfaces"
"816","mirror","Kanye West reunites with Kim Kardashian to pay tribute to friend Virgil Abloh at memorial"
"817","telegraph","

Health
Why women are being given boxing gloves and ballet shoes instead of antidepressants

"
"818","wsj","Opinion: Biden Finds a Culprit for America’s Crime Wave: Covid-19"
"819","washingtonpost","Sen. Warren says tech giants like Amazon are helping to drive up prices"
"820","latimes","Angelenos closest to the homelessness crisis urge compassion"
"821","guardian","Tell us about the people you have lost to the pandemic"
"822","times","Why risk waiting till the 25th for Christmas?"
"823","dailymail","Moment trans swimmer, 22, absolutely destroys her rivals in women's freestyle event - winning by 38 seconds: Sparks fury by smashing two women's records one year after competing as a male"
"824","independent","Leonardo DiCaprio’s father has a cameo in new film Licorice Pizza"
"825","mirror","Prince Harry's new memoir has royals 'quaking in their boots', biographer claims"
"826","telegraph","

Books
So much for Joe Biden’s approval – Amanda Gorman’s poetry needs an editor

"
"827","wsj","Opinion: Systemic Bias Against Asians"
"828","washingtonpost","D.C. Council to vote today on redistricting plan"
"829","latimes","TikTok conspiracies, infertility myths and other disinformation hinder Central Valley COVID fight"
"830","guardian","How are you affected by the southern Africa Covid travel restrictions?"
"831","times","We can’t let robots control nuclear arsenals"
"832","dailymail","PIERS MORGAN: If Michael Phelps began competing as a transgender woman, all hell would break loose - so why is nothing being done to stop trans athletes like Lia Thomas from destroying women's sport?"
"833","independent","Architect uses Snapchat at London's Design Museum to show climate future"
"834","mirror","Brits fury over Covid travel 'confusion' as holidaymakers queue for pre-flight tests"
"835","telegraph","

Tamsin Greig interview
‘I probably shouldn’t have been in Friday Night Dinner’

"
"836","wsj","Elon Musk on Infrastructure and What Comes Next for Tech Innovation"
"837","washingtonpost","Former D.C. mayor Vincent Gray suffered a mild stroke, aides say"
"838","latimes","Arellano: Is a ‘Viva Mexico’ salad Mexican food? A judge will soon tell us"
"839","guardian","Share a story with the Guardian"
"840","times","Facebook has failed to tackle the ethnic hatred in Myanmar"
"841","dailymail","Bringing Ambridge to Clarence House! Duchess of Cornwall meets The Archers cast members as she hosts celebration for the Radio 4 soap's 70th anniversary "
"842","independent","Drivers trapped in cars after mudslides cover roads in Maui"
"843","mirror","Dan Walker won't be on Strictly tour despite fans voting him to quarter finals"
"844","telegraph","

TV
Why the BBC flogged Only Fools and Horses to death

"
"845","wsj","Elon Musk Opposes Infrastructure Spending"
"846","washingtonpost","D.C. protests snarl morning traffic around U.S. Capitol"
"847","latimes","Arellano: In Oxnard, a tamale festival persists after becoming husk of its former self "
"848","guardian","Photographer of the year"
"849","times","Government’s plan to rein in the judiciary"
"850","dailymail","
          Amazon is DOWN: Web services, Alexa and Prime Video also crash as thousands of furious users worldwide are unable to order their Xmas gifts 
        "
"851","independent","Storm Barra: Major flooding in Cork as extreme weather hits Ireland"
"852","mirror","Relationship guru's sex tips for keeping the spark alive in 'tough' festive season"
"853","telegraph","

Theatre
Penelope, review: Tom Stoppard’s 21st-century Odyssey sells its heroine short

"
"854","wsj","Pfizer CEO on Omicron Variant and Vaccine Efficacy"
"855","washingtonpost","March of white supremacists in D.C. was pushed by fake Twitter account, experts say"
"856","latimes","A daily news podcast from the L.A. Times"
"857","guardian","Tuesday’s best photos "
"858","times","Laughter is the best antidote to anti-migrant Britain First"
"859","dailymail","
          PIERS MORGAN: If Michael Phelps began competing as a transgender woman, all hell would break loose - so why is nothing being done to stop trans athletes like Lia Thomas from destroying women's sport?
        "
"860","independent","Coronavirus explained"
"861","mirror","Liberty X star Michelle Heaton shares heartbreaking images from her addiction battle"
"862","telegraph","

Mina Smallman: ‘The police suffer from a crisis of moral leadership – it’s a culture which attracts predators’

"
"863","wsj","Indonesian Volcano: Villagers Dig Homes Out of Ash as Rescuers Search"
"864","washingtonpost","Edward Burroughs resigns from Prince George’s school board, plans to run for county council"
"865","latimes","New season. Listen now."
"866","guardian","2021’s hot new UK photography"
"867","times","Don’t make martyrs of ignorant antivaxers"
"868","dailymail","
          Fury as transgender UPenn swimmer, 22, who used to compete as a man smashes TWO US women's records in weekend competition and finishes one race 38 seconds ahead of her nearest rival
        "
"869","independent","Why does the UK have a higher Covid rate than Europe?"
"870","mirror","Frankie Bridge's husband Wayne 'upset' over her clashes with Naughty Boy on I'm A Celeb"
"871","telegraph","

Watch: How Kamala Harris became ‘the incredible disappearing vice president’

"
"872","wsj","Evergrande Says It’s Back to Work, Homeowners Say Not Fast Enough"
"873","washingtonpost","What referees are doing about horrible sports parents: Quitting"
"874","latimes","Discover the best of everything"
"875","guardian","No 10’s carefully crafted portraits"
"876","times","Action on Addiction"
